School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
HOGARTH KINGEEKUK MEMORIAL SCHOOL,SAVOONGA,AK,BERING STRAIT SCHOOL DISTRICT,"$471,014.00 ",Transformation,"200 MAIN ST
SAVOONGA, AK 99769
(63.6687, -170.603)"
AKIACHAK SCHOOL,AKIACHAK,AK,YUPIIT SCHOOL DISTRICT,"$520,579.00 ",Transformation,"AKIACHAK 51100
AKIACHAK, AK 99551
(60.8911, -161.376)"
GAMBELL SCHOOL,GAMBELL,AK,BERING STRAIT SCHOOL DISTRICT,"$449,592.00 ",Transformation,"169 MAIN ST
GAMBELL, AK 99742
(63.7413, -171.689)"
BURCHELL HIGH SCHOOL,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,"$641,184.00 ",Transformation,"1775 WEST PARKS HWY
WASILLA, AK 99654
(61.5794, -149.495)"
AKIAK SCHOOL,AKIAK,AK,YUPIIT SCHOOL DISTRICT,"$399,686.00 ",Transformation,"AKIAK 5227
AKIAK, AK 99552
(60.8879, -161.2)"
MIDVALLEY HIGH,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,"$697,703.00 ",Restart,"7362 WEST PARKS HWY 725
WASILLA, AK 99654
(61.5023, -149.796)"
TULUKSAK SCHOOL,TULUKSAK,AK,YUPIIT SCHOOL DISTRICT,"$427,658.00 ",Transformation,"TULUKSAK 115
TULUKSAK, AK 99679
(61.1001, -160.961)"
CAPITOL HEIGHTS JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,"$110,544.00 ",Transformation,"116 FEDERAL DR
MONTGOMERY, AL 36107
(32.3821, -86.2724)"
LOWNDES CO MIDDLE SCH,FORT DEPOSIT,AL,LOWNDES COUNTY,"$12,973.00 ",Transformation,"510 MONTGOMERY ST
FORT DEPOSIT, AL 36032
(31.9948, -86.5905)"
CENTRAL MIDDLE SCH,ROCKFORD,AL,COOSA COUNTY,"$199,828.00 ",Transformation,"ROUTE 2BOX 65
ROCKFORD, AL 35136
(32.8928, -86.1552)"
BELLINGRATH JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,"$165,903.00 ",Transformation,"3488 SOUTH COUROUTE ST
MONTGOMERY, AL 36105
(32.3447, -86.3082)"
HAYNEVILLE MIDDLE SCH,HAYNEVILLE,AL,LOWNDES COUNTY,"$121,657.00 ",Transformation,"101 LAFAYETTE ST
HAYNEVILLE, AL 36040
(32.1834, -86.5808)"
SOUTHLAWN MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,"$914,557.00 ",Transformation,"5533 MOBILE HWY
MONTGOMERY, AL 36108
(32.3064, -86.3998)"
CONTINUOUS LEARNING CTR,MOBILE,AL,MOBILE COUNTY,"$198,953.00 ",Transformation,"1870 PLACEEASANT AVE
MOBILE, AL 36617
(30.702, -88.0809)"
JACKSON-STEELE ELEM SCH,HAYNEVILLE,AL,LOWNDES COUNTY,"$118,394.00 ",Transformation,"570 FREEDOM RD
HAYNEVILLE, AL 36040
(32.304, -86.7132)"
MCINTYRE MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,"$143,238.00 ",Transformation,"1220 HUGH ST
MONTGOMERY, AL 36108
(32.3603, -86.3316)"
JOHN ESSEX HIGH SCH,DEMOPOLIS,AL,MARENGO COUNTY,"$151,116.00 ",Transformation,"70 HORNET DR
DEMOPOLIS, AL 36732
(32.4848, -87.8614)"
CALHOUN HIGH SCH,LETOHATCHEE,AL,LOWNDES COUNTY,"$163,619.00 ",Transformation,"8213 COUNTY RD 33
LETOHATCHEE, AL 36047
(32.1012, -86.586)"
OSCEOLA MIDDLE SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,"$665,000.00 ",Transformation,"711 WEST LEE
OSCEOLA, AR 72370
(35.7002, -89.9771)"
HALL HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,"$198,728.00 ",Transformation,"6700 H ST
LITTLE ROCK, AR 72205
(34.7605, -92.3466)"
ROSE CITY MIDDLE SCHOOL,NORTH LITTLE ROCK,AR,N. LITTLE ROCK SCHOOL DISTRICT,"$991,451.00 ",Transformation,"5500 LYNCH DR
NORTH LITTLE ROCK, AR 72117
(34.7561, -92.1934)"
TRUSTY ELEMENTARY SCHOOL,FORT SMITH,AR,FORT SMITH SCHOOL DISTRICT,"$990,135.00 ",Transformation,"3300 HARRIS AVE
FORT SMITH, AR 72904
(35.412, -94.3956)"
J.A. FAIR HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,"$197,012.00 ",Transformation,"13420 DAVID O DODD RD
LITTLE ROCK, AR 72210
(34.7062, -92.4113)"
OSCEOLA HIGH SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,"$695,000.00 ",Transformation,"2800 WEST SEMMES
OSCEOLA, AR 72370
(35.7053, -90.0156)"
CLOVERDALE MIDDLE SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,"$198,783.00 ",Transformation,"6300 HINKSON RD
LITTLE ROCK, AR 72209
(34.6738, -92.3476)"
GADSDEN ELEMENTARY SCHOOL,GADSDEN,AZ,GADSDEN ELEMENTARY DISTRICT,"$847,003.00 ",Transformation,"18745 SOUTH GADSDEN ST
GADSDEN, AZ 85336
(32.5554, -114.784)"
EAST VALLEY HIGH SCHOOL,MESA,AZ,LEGACY EDUCATION GROUP,"$381,512.00 ",Turnaround,"7420 EAST MAIN ST
MESA, AZ 85207
(33.4155, -111.671)"
CRITTENTON YOUTH ACADEMY,PHOENIX,AZ,FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.,"$915,959.00 ",Turnaround,"715 WEST MARIPOSA ST
PHOENIX, AZ 85013
(33.508, -112.083)"
ALCHESAY HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,"$812,195.00 ",Transformation,"200 FALCON WAY
WHITERIVER, AZ 85941
(33.8252, -109.976)"
SAN CARLOS HIGH SCHOOL,SAN CARLOS,AZ,SAN CARLOS UNIFIED DISTRICT,"$928,654.00 ",Transformation,"SAN CARLOS AVE
SAN CARLOS, AZ 85550
(33.3514, -110.452)"
PIMA PARTNERSHIP SCHOOL  THE,TUCSON,AZ,PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE,"$818,238.00 ",Turnaround,"1346 NORTH STONE AVE
TUCSON, AZ 85705
(32.2393, -110.971)"
