Latitude,Longitude,Bath,Bed,Price,Postal,Crime,MedIncome,School,Sqft_Area,Lot_Area,SchoolDist,Property_Address,Zestimate,Date_Sold,Locality,Region,Built_Year,Price_Sqft,Envi,Age,TranEnvi,TransDist,SchoolType,SchoolTSRatio,SchoolRating,MedAge,Population,College.Graduates,Rank
47.495739,-122.265157,1.5,4,287000,98178,220,60190,1,2190,11761.2,0.886884811,5364 S Juniper St,278K,2/14/2014,Seattle,WA,1955,131,0,59,0,Inf,8,20,3,38,21860,23.15,7537
47.495886,-122.262296,3,3,210000,98178,219,60190,1,1790,13503.6,0.71226192,5546 S Juniper St,261K,3/14/2014,Seattle,WA,1988,117,0,26,0,Inf,8,20,3,38,21860,23.15,7537
47.496292,-122.376232,3,6,975000,98146,181,53346,1,2520,54014.4,0.723476566,11825 Seola Beach Dr SW,967K,7/14/2014,Seattle,WA,1954,386,0,60,0,Inf,8,19,4,38.3,25574,20.58,9082
47.496326,-122.266118,2.75,4,335000,98178,236,60190,1,2960,23086.8,0.981268071,11836 54th Ave S,438K,8/23/2013,Seattle,WA,1957,113,0,57,0,Inf,8,20,3,38,21860,23.15,7537
47.496394,-122.263384,3,5,372500,98178,235,60190,1,2480,10062,0.81158118,11834 55th Ave S,361K,5/14/2014,Seattle,WA,2004,150,0,10,0,Inf,8,20,3,38,21860,23.15,7537
47.4967,-122.264788,3,4,278000,98178,252,60190,1,2540,8712,0.917483562,11821 55th Ave S,308K,10/2/2013,Seattle,WA,1960,109,0,54,0,Inf,8,20,3,38,21860,23.15,7537
47.497064,-122.260668,1,3,169000,98178,239,60190,1,890,7110,0.713965481,11812 57th Ave S,175K,7/18/2014,Seattle,WA,1957,189,0,57,0,Inf,8,20,3,38,21860,23.15,7537
47.497124,-122.263743,2.25,3,218400,98178,258,60190,1,1690,12632.4,0.88263823,5511 S Wallace St,213K,4/11/2014,Seattle,WA,1982,200,0,32,0,Inf,8,20,3,38,21860,23.15,7537
47.497536,-122.261364,2,5,230000,98178,258,60190,1,1910,7200,0.787719785,11809 57th Ave S,226K,6/12/2014,Seattle,WA,1951,120,0,63,0,Inf,8,20,3,38,21860,23.15,7537
47.497566,-122.26186,1.75,3,187500,98178,260,60190,1,1760,6360,0.814538062,11740 Beacon Ave S,224K,5/31/2013,Seattle,WA,1964,106,0,50,0,Inf,8,20,3,38,21860,23.15,7537
47.497984,-122.26261,1,2,125000,98178,264,60190,1,1150,6000,0.88677616,11716 Beacon Ave S,152K,6/30/2014,Seattle,WA,1956,108,0,58,0,Inf,8,20,3,38,21860,23.15,7537
47.498031,-122.260642,1,3,175000,98178,260,60190,1,880,9600,0.799079088,11270 57th Ave S,207K,6/13/2013,Seattle,WA,1942,198,0,72,0,Inf,8,20,3,38,21860,23.15,7537
47.498313,-122.262517,1.75,5,199950,98178,284,60190,1,1980,6720,0.909603185,11711 Luther Ave S,227K,10/19/2012,Seattle,WA,1962,100,0,52,0,Inf,8,20,3,38,21860,23.15,7537
47.498617,-122.261432,2,4,151000,98178,283,60190,1,1420,9583,0.886421303,11255 57th Ave S,219K,4/1/2013,Seattle,WA,1951,106,0,63,0,Inf,8,20,3,38,21860,23.15,7537
47.499423,-122.261408,2,4,199000,98178,302,60190,1,2030,8102,0.960242327,11225 57th Ave S,209K,5/27/2014,Seattle,WA,1950,98,0,64,0,Inf,8,20,3,38,21860,23.15,7537
47.499444,-122.377043,2,2,408750,98146,256,53346,1,1420,8100,0.710051473,11466 Marine View Dr SW,408K,9/12/2013,Seattle,WA,1950,287,0,64,0,Inf,8,19,4,38.3,25574,20.58,9082
47.499462,-122.245518,1.75,4,199950,98178,198,60190,1,1580,6098,0.308937407,7101 S 115th St,241K,9/13/2013,Seattle,WA,1945,126,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.499472,-122.246196,1,2,200000,98178,200,60190,1,790,6098,0.359681035,7013 S 115th St,188K,3/14/2014,Seattle,WA,1945,253,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.499484,-122.247105,1,2,162770,98178,201,60190,2,1050,6050,0.427796128,6921 S 115th St,200K,11/9/2012,Seattle,WA,1945,155,0,69,0,Inf,8,18,1,38,21860,23.15,7537
47.499925,-122.260821,1,3,150000,98178,309,60190,1,990,6300,0.986646429,5701 S Augusta St,210K,10/18/2012,Seattle,WA,1957,151,0,57,0,Inf,8,20,3,38,21860,23.15,7537
